year,WEEK,Total_cases,sales,bert_sentiment_score,date,flu_trend,isPartial
2014,48,3625,69.1,-1.0,,0.0,
2014,48,3625,70.80000000000001,-1.0,,0.0,
2014,48,3625,58.8,-1.0,,0.0,
2014,48,3625,74.5,-1.0,,0.0,
2014,48,3625,45.2,-1.0,,0.0,
2014,48,3625,33.4,-1.0,,0.0,
2014,49,5330,48.2,-1.0,,0.0,
2014,49,5330,36.2,-1.0,,0.0,
2014,49,5330,85.4,-1.0,,0.0,
2014,49,5330,73.7,-1.0,,0.0,
2014,49,5330,123.7,-1.0,,0.0,
2014,49,5330,109.3,-1.0,,0.0,
2014,49,5330,69.1,-1.0,,0.0,
2014,49,5330,70.80000000000001,-1.0,,0.0,
2014,49,5330,58.8,-1.0,,0.0,
2014,49,5330,74.5,-1.0,,0.0,
2014,49,5330,45.2,-1.0,,0.0,
2014,49,5330,33.4,-1.0,,0.0,
2014,50,8192,48.2,-1.0,,0.0,
2014,50,8192,36.2,-1.0,,0.0,
2014,50,8192,85.4,-1.0,,0.0,
2014,50,8192,73.7,-1.0,,0.0,
2014,50,8192,123.7,-1.0,,0.0,
2014,50,8192,109.3,-1.0,,0.0,
2014,50,8192,69.1,-1.0,,0.0,
2014,50,8192,70.80000000000001,-1.0,,0.0,
2014,50,8192,58.8,-1.0,,0.0,
2014,50,8192,74.5,-1.0,,0.0,
2014,50,8192,45.2,-1.0,,0.0,
2014,50,8192,33.4,-1.0,,0.0,
2014,51,11471,48.2,-1.0,,0.0,
2014,51,11471,36.2,-1.0,,0.0,
2014,51,11471,85.4,-1.0,,0.0,
